Roof_Type,Shading,Location,Latitude,Longitude,Suitability
Flat,Medium,Rooftop,23.07402803605866,72.57850442470684,0
Curved,High,Rooftop,23.0671020442374,72.51330170722447,0
Flat,High,Balcony,23.048585493891856,72.58105366271745,0
Sloped,Medium,Building_Facade,23.011126404530447,72.50941430374938,1
Flat,Low,Rooftop,23.03309533829,72.55643537444732,0
Sloped,Low,Balcony,23.03773313781543,72.52275190474393,0
Flat,Low,Rooftop,23.012026839179153,72.5270408805038,1
Sloped,Medium,Building_Facade,23.048651951216986,72.57992112835045,0
Flat,High,Building_Facade,23.09198702672519,72.5159584163228,0
Sloped,Medium,Rooftop,23.056552826766644,72.53446704589011,0
Flat,High,Balcony,23.00166059720602,72.57559650207088,1
Curved,Low,Building_Facade,23.055999263042427,72.57235326168717,1
Curved,High,Building_Facade,23.042282814703643,72.51802555411682,0
Flat,High,Rooftop,23.047126172265106,72.53911664689772,1
Sloped,Medium,Balcony,23.051098021577864,72.58675630900873,1
Curved,High,Balcony,23.093561964395928,72.57140030758615,1
Flat,Medium,Building_Facade,23.04928024429363,72.55067063685568,1
Curved,Medium,Rooftop,23.06579336741994,72.57314915771337,0
Curved,Low,Building_Facade,23.025979982571876,72.57667510005574,1
Flat,High,Rooftop,23.011056336715573,72.54468928112033,1
Sloped,High,Balcony,23.05182279514267,72.52243715087162,0
Sloped,Medium,Rooftop,23.094373700818107,72.5344684183378,0
Sloped,High,Rooftop,23.058908020712042,72.57460496128122,0
Flat,High,Rooftop,23.06220437229124,72.56243368981877,0
Curved,Low,Balcony,23.098194745285536,72.57954222829005,0
Curved,Medium,Rooftop,23.03363307373253,72.57319714085672,0
Sloped,High,Balcony,23.088851353078397,72.51107454846333,0
Flat,Low,Balcony,23.013333773046156,72.5329063210672,0
Sloped,Medium,Balcony,23.018840707139038,72.563814968061,0
Sloped,Low,Rooftop,23.07664612784149,72.57714419667526,1
Curved,Low,Building_Facade,23.00167671427362,72.58962750802571,1
Curved,Low,Balcony,23.044855957443335,72.51738231250377,0
Flat,Medium,Rooftop,23.069583985253125,72.57729103888661,1
Sloped,Medium,Building_Facade,23.091632205124228,72.5621842514497,0
Flat,Medium,Rooftop,23.023307784236465,72.50903418999991,1
Sloped,Low,Building_Facade,23.016537126493066,72.54462917315058,1
Sloped,Low,Rooftop,23.0169562326403,72.5337159727566,1
Sloped,Medium,Balcony,23.0206248959582,72.54702831052288,0
Sloped,Low,Building_Facade,23.005896900072425,72.54178331726357,1
Sloped,Low,Balcony,23.0904737869839,72.5604956931143,0
Sloped,Medium,Balcony,23.030993414200832,72.59764649673916,0
